Method,Endpoint,Summary,Tag,File
GET,/api/members,전체 회원 조회,Members,memberRoutes.js
POST,/api/members,회원 등록,Members,memberRoutes.js
PATCH,/api/members/{id}/status,회원 상태 변경,Members,memberRoutes.js
PATCH,/api/members/{id}/points,회원 포인트 변경,Members,memberRoutes.js
GET,/api/members/search,회원 검색,Members,memberRoutes.js
POST,/api/attendance,출석 등록,Attendance,attendanceRoutes.js
GET,/api/attendance/member/{id},회원별 출석 조회,Attendance,attendanceRoutes.js
POST,/api/diet,식단 등록,Diet,dietRoutes.js
GET,/api/diet,전체 식단 조회 (필터),Diet,dietRoutes.js
GET,/api/diet/member/{id},회원별 식단 조회,Diet,dietRoutes.js
POST,/api/consultations,상담 등록,Consultation,consultationRoutes.js
GET,/api/consultations/member/{id},회원별 상담 조회,Consultation,consultationRoutes.js
POST,/api/exercise,운동 기록 등록,Exercise,exerciseRoutes.js
GET,/api/exercise/{id},PT 일정별 운동 기록 조회,Exercise,exerciseRoutes.js
POST,/api/exercise-goals,운동 목표 등록,ExerciseGoals,exerciseGoalRoutes.js
GET,/api/exercise-goals/member/{id},회원별 운동 목표 조회,ExerciseGoals,exerciseGoalRoutes.js
POST,/api/media,미디어 등록,Media,mediaRoutes.js
GET,/api/media,전체 미디어 조회,Media,mediaRoutes.js
GET,/api/media/member/{id},회원별 미디어 조회,Media,mediaRoutes.js
POST,/api/bodymetrics,신체 측정 등록,BodyMetrics,bodyMetricsRoutes.js
GET,/api/bodymetrics/member/{id},회원별 신체 측정 기록,BodyMetrics,bodyMetricsRoutes.js
GET,/api/bodymetrics/member/{id}/latest,회원별 최근 측정 1건,BodyMetrics,bodyMetricsRoutes.js
GET,/api/calendar,전체 캘린더 조회,Calendar,calendarRoutes.js
POST,/api/membership-alerts,회원권 알림 전송,System,membershipAlertRoutes.js
